run_id,dataset_profile,stage_size_multiplier,scenario,num_stages,num_tiles,makespan_s,total_energy_J,compute_energy_J,transfer_energy_J,host_touch_energy_J,total_bytes_host_link,total_bytes_cxl_direct,total_bytes_host_touch,total_bytes_host_h2d_ingress,total_bytes_host_h2d_stage,total_bytes_host_d2h,total_bytes_moved,lb_compute_stage_max_s,lb_host_h2d_ingress_s,lb_host_h2d_stage_s,lb_host_d2h_s,lb_host_link_s,lb_host_touch_s,lb_cxl_direct_s,dominant_lb_component,pipeline_template,memory_ceiling_enabled,total_cpu_mem_time_component_s,total_cpu_mem_latency_bound_time_component_s,total_cpu_mem_peak_bound_time_component_s,total_pim_mem_time_component_s,total_compute_time_component_s,total_cpu_materialize_bytes,total_cpu_materialize_time_component_s,cpu_materialize_energy_J,cpu_baseline_engine,total_cpu_mem_service_time_component_s,total_cpu_mem_queue_delay_component_s,total_pim_mem_service_time_component_s,total_pim_mem_queue_delay_component_s,total_bytes_pim_retained,total_retain_fallback_bytes,total_retain_handoff_time_component_s,cxl_direct_stream_slots,cxl_active_direct_endpoints,cxl_effective_striping_factor,total_cxl_dma_issue_time_component_s,workload_family,workload_profile,workload_variant,baseline_id
run_021_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_flowcxl_direct_m2p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,2.0,pim_flowcxl_direct,3,1352,44.204586850550385,12611.354365339,12175.506447277983,435.84791806101777,0.0,118272000000,388800000000,0,76800000000,0,41472000000,507072000000,43.17923076923806,11.509309188024009,0.0,8.761670288607588,11.509309188024009,0.0,1.901770533024116,compute_stage_max,tpch_3op,True,0.0,0.0,0.0,1623.400859637148,156.15999999999525,0,0.0,0.0,vectorized_pipeline,0.0,0.0,530.6760000000263,1092.724859637028,0,0,0.0,4,3,1,0.0005408000000000114,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m2p0
run_022_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_cpu_only_m4p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,4.0,cpu_only,3,2704,5983.701167549688,2999660.296726535,2999660.296726535,0.0,0.0,0,0,0,0,0,0,0,5944.922100000162,0.0,0.0,0.0,0.0,0.0,0.0,compute_stage_max,tpch_3op,True,199977.3531151088,199775.68374996202,201.66936513858533,0.0,669.439999999951,0,0.0,0.0,vectorized_pipeline,32344.12799999757,167633.22511509724,0.0,0.0,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m4p0
run_023_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_host_bounce_m4p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,4.0,pim_host_bounce,3,2704,182.2080021723237,31706.421436423007,24351.012894555086,7355.40854186792,933.4444800000712,1791744000000,0,777600000000,153600000000,777600000000,860544000000,1791744000000,86.3584615384731,23.01861837604803,116.45639842874343,181.62318628860098,181.62318628860098,31.11481600000237,0.0,host_link,tpch_3op,True,0.0,0.0,0.0,3246.8017192739503,312.31999999997635,0,0.0,0.0,vectorized_pipeline,0.0,0.0,1061.3519999999949,2185.449719274268,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m4p0
run_024_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_flowcxl_direct_m4p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,4.0,pim_flowcxl_direct,3,2704,87.19642130358281,25222.751498088568,24351.012894555086,871.7386035334808,0.0,236544000000,777600000000,0,153600000000,0,82944000000,1014144000000,86.3584615384731,23.01861837604803,0.0,17.523340577214388,23.01861837604803,0.0,3.806214029264537,compute_stage_max,tpch_3op,True,0.0,0.0,0.0,3246.801719273942,312.3199999999758,0,0.0,0.0,vectorized_pipeline,0.0,0.0,1061.3520000000033,2185.449719274269,0,0,0.0,4,3,1,0.0010815999999999675,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m4p0
run_025_PROFILE_DV_ILLUMINA_WGS_30X_base_cpu_only_m0p5,PROFILE_DV_ILLUMINA_WGS_30X,0.5,cpu_only,3,1698,12086.046220284017,8830079.999999976,8830079.999999976,0.0,0.0,0,0,0,0,0,0,0,11753.204399999908,0.0,0.0,0.0,0.0,0.0,0.0,compute_stage_max,deepvariant_3stage,False,0.0,0.0,0.0,0.0,588671.9999999952,0,0.0,0.0,vectorized_pipeline,0.0,0.0,0.0,0.0,0,0,0.0,4,0,1,0.0,deepvariant,PROFILE_DV_ILLUMINA_WGS_30X,base,deepvariant|PROFILE_DV_ILLUMINA_WGS_30X|base|m0p5
run_026_PROFILE_DV_ILLUMINA_WGS_30X_base_pim_host_bounce_m0p5,PROFILE_DV_ILLUMINA_WGS_30X,0.5,pim_host_bounce,3,1698,6070.170089002745,2788641.8689219244,2784639.312000024,4002.5569219004256,546.9418799999899,967237200000,0,455700000000,55800000000,455700000000,455737200000,967237200000,5876.602199999954,8.368745213173494,68.23401467425067,96.17799220759763,96.17799220759763,18.231395999999663,0.0,compute_stage_max,deepvariant_3stage,False,0.0,0.0,0.0,0.0,340144.49280000787,0,0.0,0.0,vectorized_pipeline,0.0,0.0,0.0,0.0,0,0,0.0,4,0,1,0.0,deepvariant,PROFILE_DV_ILLUMINA_WGS_30X,base,deepvariant|PROFILE_DV_ILLUMINA_WGS_30X|base|m0p5
run_027_PROFILE_DV_ILLUMINA_WGS_30X_base_pim_flowcxl_direct_m0p5,PROFILE_DV_ILLUMINA_WGS_30X,0.5,pim_flowcxl_direct,3,1698,6070.021161779745,2784923.010946606,2784639.312000024,283.6989465817097,0.0,55837200000,455700000000,0,55800000000,0,37200000,511537200000,5876.602199999954,8.368745213173494,0.0,0.023299901265823323,8.368745213173494,0.0,7.241127768307711,compute_stage_max,deepvariant_3stage,False,0.0,0.0,0.0,0.0,340144.49280000787,0,0.0,0.0,vectorized_pipeline,0.0,0.0,0.0,0.0,0,0,0.0,4,2,1,0.0003396000000000066,deepvariant,PROFILE_DV_ILLUMINA_WGS_30X,base,deepvariant|PROFILE_DV_ILLUMINA_WGS_30X|base|m0p5
run_028_PROFILE_DV_ILLUMINA_WGS_30X_base_cpu_only_m1p0,PROFILE_DV_ILLUMINA_WGS_30X,1.0,cpu_only,3,3396,23825.40703433086,17660160.000000954,17660160.000000954,0.0,0.0,0,0,0,0,0,0,0,23506.40880000163,0.0,0.0,0.0,0.0,0.0,0.0,compute_stage_max,deepvariant_3stage,False,0.0,0.0,0.0,0.0,1177344.0000001877,0,0.0,0.0,vectorized_pipeline,0.0,0.0,0.0,0.0,0,0,0.0,4,0,1,0.0,deepvariant,PROFILE_DV_ILLUMINA_WGS_30X,base,deepvariant|PROFILE_DV_ILLUMINA_WGS_30X|base|m1p0
run_029_PROFILE_DV_ILLUMINA_WGS_30X_base_pim_host_bounce_m1p0,PROFILE_DV_ILLUMINA_WGS_30X,1.0,pim_host_bounce,3,3396,11939.963752436714,5577283.737843946,5569278.624000144,8005.113843800971,1093.8837599999954,1934474400000,0,911400000000,111600000000,911400000000,911474400000,1934474400000,11753.204400000815,16.73749042634692,136.46802934850504,192.35598441519682,192.35598441519682,36.462791999999844,0.0,compute_stage_max,deepvariant_3stage,False,0.0,0.0,0.0,0.0,680288.985600044,0,0.0,0.0,vectorized_pipeline,0.0,0.0,0.0,0.0,0,0,0.0,4,0,1,0.0,deepvariant,PROFILE_DV_ILLUMINA_WGS_30X,base,deepvariant|PROFILE_DV_ILLUMINA_WGS_30X|base|m1p0
run_030_PROFILE_DV_ILLUMINA_WGS_30X_base_pim_flowcxl_direct_m1p0,PROFILE_DV_ILLUMINA_WGS_30X,1.0,pim_flowcxl_direct,3,3396,11939.716587031717,5569844.060694607,5569278.624000144,565.4366944631881,0.0,111674400000,911400000000,0,111600000000,0,74400000,1023074400000,11753.204400000815,16.73749042634692,0.0,0.04659980253164316,16.73749042634692,0.0,14.359680617851057,compute_stage_max,deepvariant_3stage,False,0.0,0.0,0.0,0.0,680288.985600044,0,0.0,0.0,vectorized_pipeline,0.0,0.0,0.0,0.0,0,0,0.0,4,2,1,0.0006792000000000148,deepvariant,PROFILE_DV_ILLUMINA_WGS_30X,base,deepvariant|PROFILE_DV_ILLUMINA_WGS_30X|base|m1p0
